Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T23:43:05,2021-05-31T23:56:16,090,Paciuksenkaari,072,Eteläinen Hesperiankatu,2779,787
2021-05-31T23:41:33,2021-06-01T00:06:01,030,Itämerentori,019,Rautatientori / itä,2964,1464
2021-05-31T23:40:50,2021-05-31T23:43:16,004,Viiskulma,003,Kapteeninpuistikko,565,145
2021-05-31T23:40:48,2021-05-31T23:55:06,703,Elfvik,725,Rummunlyöjänkatu,2787,853
2021-05-31T23:39:12,2021-05-31T23:45:44,043,Karhupuisto,115,Venttiilikuja,1491,390
2021-05-31T23:38:39,2021-05-31T23:43:38,030,Itämerentori,201,Länsisatamankuja,904,294
2021-05-31T23:38:24,2021-05-31T23:42:45,094,Laajalahden aukio,090,Paciuksenkaari,898,255
2021-05-31T23:37:28,2021-05-31T23:47:30,009,Erottajan aukio,061,Länsisatamankatu,2496,600
2021-05-31T23:37:25,2021-05-31T23:48:25,096,Huopalahdentie,099,Muusantori,2361,660
2021-05-31T23:37:17,2021-05-31T23:44:09,117,Brahen puistikko,041,Ympyrätalo,1186,408
2021-05-31T23:36:00,2021-05-31T23:54:08,078,Messeniuksenkatu,402,Bermudankuja,3924,1083
2021-05-31T23:34:09,2021-05-31T23:44:32,022,Rautatientori / länsi,043,Karhupuisto,2007,619
2021-05-31T23:34:08,2021-05-31T23:35:13,016,Liisanpuistikko,016,Liisanpuistikko,0,61
2021-05-31T23:33:58,2021-05-31T23:49:52,001,Kaivopuisto,057,Lauttasaaren ostoskeskus,4515,954
2021-05-31T23:33:29,2021-05-31T23:54:13,547,Jämeräntaival,547,Jämeräntaival,1872,1239
2021-05-31T23:32:38,2021-06-01T08:41:05,021,Töölönlahdenkatu,034,Kansallismuseo,551,242
2021-05-31T23:31:27,2021-05-31T23:57:24,315,Vuosaaren liikuntapuisto,272,Marjaniementie,5495,1553
2021-05-31T23:31:10,2021-05-31T23:35:18,555,Kalevalantie,557,Louhentori,618,244
2021-05-31T23:30:45,2021-06-01T15:45:49,573,Urheilupuisto (M),511,Sateentie,2834,58499
2021-05-31T23:30:19,2021-05-31T23:34:35,031,Marian sairaala,063,Jätkäsaarenlaituri,967,243
2021-05-31T23:30:06,2021-05-31T23:49:17,547,Jämeräntaival,547,Jämeräntaival,739,1146
2021-05-31T23:29:30,2021-05-31T23:49:01,041,Ympyrätalo,028,Lastenlehto,2717,1166
2021-05-31T23:28:16,2021-05-31T23:31:00,082,Töölöntulli,084,Paciuksenkatu,665,159
2021-05-31T23:27:33,2021-05-31T23:30:47,070,Sammonpuistikko,031,Marian sairaala,724,193
2021-05-31T23:27:20,2021-05-31T23:53:07,205,Ilmalan asema,034,Kansallismuseo,4284,1542
2021-05-31T23:27:13,2021-05-31T23:38:48,579,Niittymaa,651,Suurpellonaukio,2979,691
2021-05-31T23:26:32,2021-05-31T23:30:21,006,Hietalahdentori,030,Itämerentori,1039,224
2021-05-31T23:23:34,2021-05-31T23:49:44,042,Haapaniemenkatu,147,Käpylän asema,4712,1564
2021-05-31T23:23:31,2021-05-31T23:49:39,042,Haapaniemenkatu,147,Käpylän asema,4903,1567
2021-05-31T23:23:27,2021-05-31T23:33:02,711,Kirjurinkuja,727,Ratsutori,1325,569
2021-05-31T23:23:22,2021-05-31T23:31:24,046,Diakoniapuisto,077,Nordenskiöldinaukio,1670,477
2021-05-31T23:23:00,2021-05-31T23:30:36,020,Kaisaniemenpuisto,043,Karhupuisto,1742,455
2021-05-31T23:22:28,2021-05-31T23:44:19,517,Länsituuli,143,Kuikkarinne,5711,1306
2021-05-31T23:22:09,2021-05-31T23:43:09,068,Albertinkatu,095,Munkkiniemen aukio,5405,1256
2021-05-31T23:21:02,2021-05-31T23:25:15,579,Niittymaa,581,Niittykumpu (M),688,248
2021-05-31T23:21:01,2021-05-31T23:24:52,519,Tapionaukio,511,Sateentie,918,231
2021-05-31T23:20:51,2021-05-31T23:25:48,547,Jämeräntaival,533,Tekniikantie,1128,295
2021-05-31T23:19:56,2021-05-31T23:26:59,529,Keilaniemi (M),547,Jämeräntaival,1733,418
2021-05-31T23:19:02,2021-05-31T23:23:23,033,Kauppakorkeakoulu,063,Jätkäsaarenlaituri,1197,257
2021-05-31T23:17:52,2021-05-31T23:33:38,031,Marian sairaala,016,Liisanpuistikko,3050,941
2021-05-31T23:17:45,2021-05-31T23:24:15,030,Itämerentori,402,Bermudankuja,1378,386
2021-05-31T23:16:59,2021-05-31T23:42:33,711,Kirjurinkuja,565,Mankkaanaukio,5827,1527
2021-05-31T23:16:15,2021-05-31T23:18:23,737,Muurarinkuja,731,Leppävaarankäytävä,396,123
2021-05-31T23:15:47,2021-05-31T23:26:07,122,Lintulahdenkatu,245,Kulosaari (M),2903,618
2021-05-31T23:15:17,2021-05-31T23:27:36,040,Hakaniemi (M),068,Albertinkatu,2693,733
2021-05-31T23:15:11,2021-05-31T23:25:06,041,Ympyrätalo,032,Eläinmuseo,1866,591
2021-05-31T23:14:24,2021-05-31T23:21:04,027,Eerikinkatu,063,Jätkäsaarenlaituri,1037,395
2021-05-31T23:14:12,2021-05-31T23:19:43,119,Gebhardinaukio,045,Brahen kenttä,833,332
2021-05-31T23:14:11,2021-05-31T23:23:28,503,Keilalahti,513,Hakalehto,2532,556
2021-05-31T23:13:52,2021-05-31T23:23:20,579,Niittymaa,629,Piispanportti,2554,567
2021-05-31T23:13:41,2021-05-31T23:26:38,725,Rummunlyöjänkatu,703,Elfvik,12,772
2021-05-31T23:13:34,2021-05-31T23:17:20,751,Vallipolku,749,Vallikatu,643,221
2021-05-31T23:13:15,2021-05-31T23:21:54,072,Eteläinen Hesperiankatu,078,Messeniuksenkatu,1490,515
2021-05-31T23:11:06,2021-05-31T23:31:03,028,Lastenlehto,079,Uimastadion,3405,1196
2021-05-31T23:10:39,2021-05-31T23:19:57,030,Itämerentori,027,Eerikinkatu,1455,558
2021-05-31T23:10:17,2021-05-31T23:21:34,900,Orionintie,555,Kalevalantie,2450,672
2021-05-31T23:10:10,2021-05-31T23:23:26,073,Kesäkatu,118,Fleminginkatu,2789,792
2021-05-31T23:10:01,2021-05-31T23:20:34,030,Itämerentori,027,Eerikinkatu,1429,629
2021-05-31T23:09:57,2021-05-31T23:19:22,553,Metsänneidonpolku,547,Jämeräntaival,2200,564
2021-05-31T23:09:26,2021-05-31T23:22:29,013,Merisotilaantori,021,Töölönlahdenkatu,2922,779
2021-05-31T23:09:15,2021-05-31T23:33:36,294,Postipuisto,037,Töölönkatu,6450,1457
2021-05-31T23:09:04,2021-05-31T23:20:30,040,Hakaniemi (M),013,Merisotilaantori,2668,681
2021-05-31T23:08:41,2021-05-31T23:26:16,239,Viikin tiedepuisto,141,Intiankatu,4399,1054
2021-05-31T23:08:39,2021-05-31T23:15:10,007,Designmuseo,017,Varsapuistikko,1274,391
2021-05-31T23:08:29,2021-05-31T23:15:17,731,Leppävaarankäytävä,707,Majurinkulma,1433,401
2021-05-31T23:07:58,2021-05-31T23:33:33,006,Hietalahdentori,054,Gyldenintie,4422,1532
2021-05-31T23:07:55,2021-05-31T23:08:18,294,Postipuisto,294,Postipuisto,0,21
2021-05-31T23:06:34,2021-05-31T23:17:12,026,Kamppi (M),046,Diakoniapuisto,3272,636
2021-05-31T23:06:33,2021-05-31T23:24:26,115,Venttiilikuja,116,Linnanmäki,4351,1070
2021-05-31T23:06:02,2021-05-31T23:19:28,900,Orionintie,625,Suomenlahdentie,4135,802
2021-05-31T23:05:53,2021-05-31T23:13:39,625,Suomenlahdentie,603,Matinlahdenranta,1774,461
2021-05-31T23:05:38,2021-05-31T23:10:48,711,Kirjurinkuja,719,Säteri,1210,305
2021-05-31T23:05:38,2021-05-31T23:08:15,609,Sepetlahdentie,607,Nuottaniementie,665,152

